territory_id,week,weekly_sales,weekly_revenue,unique_transactions,unique_products,inventory_qty,stockout_count,avg_inventory,total_visits,unique_reps,delivered_rate,opened_rate,clicked_rate,impressions,visits,leads,sales_growth,revenue_growth,sales_momentum,inventory_momentum,rolling_sales_4w,rolling_revenue_4w,stockout_rate,inventory_risk,engagement_score,rep_coverage_score,sales_score,engagement_score_norm,inventory_risk_norm,coverage_score_norm,territory_intelligence_score,territory_health_score,sales_decline_flag,high_inventory_risk_flag,low_engagement_flag,low_coverage_flag,urgency_score,high_engagement_flag,high_sales_momentum_flag,opportunity_score,sales_alert,inventory_alert,engagement_alert,recommendations,action_priority,territory_status
TER_0001,2025-10-06/2025-10-12,177,246098.25,22,8,3950,0,136.20689655172413,0.0,0.0,0.9858657243816256,0.1943462897526501,0.0371024734982332,133387,2489,190,,,,,177.0,246098.25,0.0,0.0,0.0999999999999999,0.0,0.1957013574660633,0.3294117647058822,0.0,0.0,0.1508484162895927,0.34416289592760174,0,0,1,1,0.3,0,0,0.0,NORMAL,NORMAL,NORMAL,Push WhatsApp campaign | Increase rep visits,LOW,AT_RISK
TER_0001,2025-10-13/2025-10-19,407,575345.88,37,11,3543,0,122.17241379310344,0.0,0.0,0.9818181818181818,0.2025974025974026,0.0415584415584415,146859,2027,131,1.2994350282485874,1.337870667507794,230.0,-407.0,292.0,410722.065,0.0,0.0,0.1059740259740259,0.0,0.4558823529411764,0.3828265851795264,0.0,0.0,0.2552654698242933,0.45891825821237586,0,0,0,1,0.15,0,1,0.4,NORMAL,NORMAL,NORMAL,Increase rep visits | Scale campaign investment,LOW,STABLE
TER_0001,2025-10-20/2025-10-26,436,550996.87,20,10,3107,2,107.13793103448276,0.0,0.0,0.9703264094955488,0.2492581602373887,0.0415430267062314,147697,2767,147,0.0712530712530712,-0.0423206471905213,29.0,-436.0,340.0,457480.3333333333,0.0006437077566784,0.0643707756678468,0.1246290801186943,0.0,0.4886877828054298,0.5496247163553849,0.0690912992168222,0.0,0.3257197278749522,0.4915817965498845,0,0,0,1,0.15,0,1,0.4,NORMAL,NORMAL,NORMAL,Increase rep visits | Scale campaign investment,LOW,STABLE
TER_0001,2025-10-27/2025-11-02,113,156552.13,22,11,3397,0,117.13793103448276,12.0,1.0,0.9753086419753086,0.2345679012345679,0.0555555555555555,102085,1566,118,-0.7408256880733946,-0.7158747380906174,-323.0,290.0,283.25,382248.2825,0.0,0.0,0.1271604938271605,6.0,0.1233031674208144,0.5722585330428467,0.0,0.3428571428571428,0.2376493132865682,0.4323444021483237,1,0,0,0,0.35,0,0,0.06857142857142856,CRITICAL_SALES_DROP,NORMAL,NORMAL,Increase retailer engagement,LOW,STABLE
TER_0001,2025-11-03/2025-11-09,175,220733.06,25,9,3250,0,112.06896551724138,12.0,1.0,0.9923664122137404,0.2519083969465648,0.0419847328244274,143675,2878,178,0.5486725663716814,0.4099652301121677,62.0,-147.0,282.75,375906.985,0.0,0.0,0.1259541984732824,6.0,0.1934389140271493,0.5614728334081722,0.0,0.3428571428571428,0.2595003996901167,0.45824156086392276,0,0,0,0,0.0,0,1,0.4685714285714286,NORMAL,NORMAL,NORMAL,Scale campaign investment,LOW,STABLE
TER_0001,2025-11-10/2025-11-16,95,122661.58,17,7,3207,0,110.58620689655172,0.0,0.0,0.9880478087649402,0.2549800796812749,0.0517928286852589,130662,2850,151,-0.4571428571428572,-0.4442990098538025,-80.0,-43.0,204.75,262735.91,0.0,0.0,0.1330677290836653,0.0,0.1029411764705882,0.6250761659245371,0.0,0.0,0.1922984532458401,0.3661917037731427,1,0,0,1,0.5,0,0,0.0,CRITICAL_SALES_DROP,NORMAL,NORMAL,Increase retailer engagement | Increase rep visits,MEDIUM,AT_RISK
TER_0001,2025-11-17/2025-11-23,103,126888.79,17,9,3221,0,111.06896551724138,4.0,1.0,0.9951923076923076,0.2403846153846154,0.0673076923076923,153126,3435,254,0.0842105263157895,0.0344623801519596,8.0,14.0,121.5,156708.89,0.0,0.0,0.1365384615384615,2.0,0.1119909502262443,0.6561085972850679,0.0,0.1142857142857142,0.2203668390433096,0.39887524240465416,0,0,0,0,0.0,0,1,0.4228571428571429,NORMAL,NORMAL,NORMAL,Scale campaign investment,LOW,AT_RISK
TER_0001,2025-11-24/2025-11-30,450,641261.35,28,11,2868,0,98.89655172413794,0.0,0.0,0.9774774774774776,0.2207207207207207,0.054054054054054,170346,4148,336,3.3689320388349517,4.053727362361954,347.0,-353.0,205.75,277886.195,0.0,0.0,0.1207207207207207,0.0,0.504524886877828,0.5146793852676205,0.0,0.0,0.3052535567241449,0.5047458318046554,0,0,0,1,0.15,0,1,0.4,NORMAL,NORMAL,NORMAL,Increase rep visits | Scale campaign investment,LOW,STABLE
TER_0001,2025-12-01/2025-12-07,228,354734.63,25,10,2684,0,92.55172413793105,0.0,0.0,0.9788359788359788,0.2275132275132275,0.037037037037037,145370,3027,207,-0.4933333333333333,-0.4468173857663493,-222.0,-184.0,219.0,311386.5875,0.0,0.0,0.1132275132275132,0.0,0.253393665158371,0.4476812947401182,0.0,0.0,0.2006081064904594,0.39089372501137204,1,0,0,1,0.5,0,0,0.0,CRITICAL_SALES_DROP,NORMAL,NORMAL,Increase retailer engagement | Increase rep visits,MEDIUM,AT_RISK
TER_0001,2025-12-08/2025-12-14,274,492685.1,25,11,2534,0,87.37931034482759,2.0,1.0,0.993939393939394,0.2363636363636363,0.0606060606060606,162972,3515,225,0.2017543859649122,0.388883571925301,46.0,-150.0,263.75,403892.4675,0.0,0.0,0.1309090909090909,1.0,0.3054298642533937,0.6057754010695187,0.0,0.0571428571428571,0.266915731327496,0.45475559734383264,0,0,0,0,0.0,0,1,0.4114285714285714,NORMAL,NORMAL,NORMAL,Scale campaign investment,LOW,STABLE
